No, param001, param002, param003, param004, param005, param006, param007, param008, param009, param010, param011, param101, param102, param103, param104, param105, param106, param111, param112, param113, param114, param115, param116, param201, param202, param301, param302, param303, param304, param311, param314, param401, param402, param411, param412, param501
10016, 22, 6.6, 3.1, 7.6, 3, 1.1, 0.6, 0.9, 1.8, 2.4, 1.4, 14, _Clay, 48, 43, 0, 15400, 20, çªéøìy, _Sandy, 13, 35, 117, 1, _SY390, 70, 0, 0, 2, 51, 2, 2.5, 0.4, 1.5, 0, 0.2
10017, 13, 3.8, 10, 14.8, 9.9, 7.2, 0.8, 5.8, 9, 5.5, 7.7, 17, _Sandy, 43, 14, 227, 43300, 12, çªéøìy, _Sandy, 26, 14, 100, 3, _SY295, 85, 1, 0, 2, 41, 2, 8.9, 0.7, 8.9, 0, 0.1
10018, 17, 5.1, 7.3, 8.4, 7.2, 5, 1.8, 6.2, 5.4, 5.8, 5.1, 20, _Clay, 28, 30, 237, 87000, 12, çªéøìy, _Sandy, 32, 41, 172, 3, _SY295, 81, 0, 1, 1, 39, 1, 5.2, 1.2, 6, 0.8, 0.5
10019, 21, 6.3, 4.6, 11.6, 4.5, 0.5, 2.4, 6, 3.5, 5.4, 3.1, 13, _Clay, 12, 1, 246, 130800, 12, îSê´ìy, _Clay, 38, 23, 243, 2, _SY295, 77, 0, 1, 1, 37, 1, 3.6, 1.1, 3, 1.9, 0.3
10020, 15, 11.4, 7.6, 13, 7.5, 1.6, 0.9, 4, 3.8, 0.8, 3, 13, _Sandy, 33, 45, 81, 99000, 16, îSê´ìy, _Clay, 0, 16, 66, 3, _SY295, 50, 1, 1, 2, 88, 2, 4.1, 0.2, 4.3, 0.1, 0.1
10021, 19, 12.7, 4.9, 6.6, 4.8, 0.9, 1.3, 3.5, 3.9, 8.8, 3.4, 16, _Sandy, 17, 17, 91, 142700, 16, îSê´ìy, _Clay, 6, 44, 138, 2, _SY295, 46, 0, 1, 1, 86, 2, 4.5, 0, 2.3, 0.6, 0.4
10022, 10, 9.9, 3.7, 5.7, 3.6, 1.2, 0.6, 1, 1.6, 2.8, 1.4, 19, _Clay, 12, 32, 18, 170600, 18, îSê´ìy, _Clay, 18, 22, 121, 4, _SY390, 61, 1, 0, 1, 76, 1, 3.1, 0.1, 2.9, 0.3, 0.4
10023, 14, 11.2, 9.1, 17, 9, 3.7, 0.3, 0.2, 6.6, 2.8, 5.8, 12, _Sandy, 48, 4, 27, 15400, 18, îSê´ìy, _Clay, 24, 5, 192, 3, _SY295, 57, 0, 0, 2, 74, 1, 5.1, 0.2, 6.4, 0.2, 0.2
10024, 18, 12.5, 6.5, 10.8, 6.4, 2.5, 1.2, 7.6, 6.1, 2.1, 5.8, 16, _Sandy, 33, 20, 36, 59100, 18, îSê´ìy, _Clay, 30, 32, 264, 2, _SY295, 53, 1, 0, 2, 71, 2, 5.4, 0.9, 3.8, 0.3, 0.5
10025, 22, 13.7, 3.8, 4.4, 3.7, 0.2, 0.2, 7.5, 1.7, 0.8, 0.5, 19, _Sandy, 17, 36, 46, 102900, 18, çªéøìy, _Sandy, 36, 14, 36, 1, _SY295, 49, 1, 1, 1, 69, 2, 0.8, 0.1, 0.7, 0.1, 0.4
10026, 13, 11, 2.6, 3.5, 2.5, 0.6, 0.2, 3.3, 1.9, 4.6, 1.6, 12, _Clay, 12, 7, 273, 130800, 20, îSê´ìy, _Clay, 49, 38, 19, 3, _SY390, 64, 0, 1, 1, 59, 1, 0.7, 0.1, 1.7, 0.1, 0.3
10027, 28, 3, 5.6, 14.5, 5.5, 0.5, 1.3, 6.4, 3.6, 3.8, 3.1, 12, _Sandy, 32, 6, 108, 98900, 14, îSê´ìy, _Clay, 11, 31, 141, 4, _SY390, 36, 1, 1, 2, 44, 2, 5.4, 0.6, 4.5, 0, 0.1
10028, 11, 4.2, 2.9, 8.1, 2.8, 0.2, 0.3, 1.7, 2.5, 0.7, 0.4, 15, _Clay, 17, 22, 118, 142700, 14, çªéøìy, _Sandy, 17, 14, 213, 3, _SY390, 32, 0, 1, 1, 42, 2, 1.4, 0, 1.7, 0.1, 0.4
10029, 23, 1.5, 9.8, 15.3, 9.7, 2.9, 2.8, 1.2, 5.1, 8.5, 4.4, 18, _Clay, 12, 38, 45, 170600, 16, îSê´ìy, _Clay, 29, 37, 196, 5, _SY295, 47, 1, 1, 1, 32, 1, 5.1, 1.3, 9.6, 1.1, 0.4
10030, 13, 11.8, 8.6, 14.4, 8.5, 4.2, 1.4, 6, 6.9, 2.4, 5.3, 11, _Sandy, 7, 9, 272, 198400, 18, îSê´ìy, _Clay, 42, 16, 179, 3, _SY295, 62, 0, 0, 1, 89, 2, 5.1, 0.9, 5.9, 0.6, 0.4
10031, 14, 5.3, 9.8, 13.9, 9.7, 1.8, 5, 4.3, 7.8, 1.8, 5.9, 17, _Sandy, 17, 42, 73, 102900, 16, çªéøìy, _Sandy, 48, 29, 111, 3, _SY390, 35, 1, 1, 1, 26, 2, 8.4, 4, 7.1, 2.1, 0.4
10032, 26, 2.5, 8.6, 13, 8.5, 4.1, 0.5, 5.5, 8, 11.4, 4.3, 20, _Clay, 12, 13, 0, 130700, 18, îSê´ìy, _Clay, 9, 8, 94, 5, _SY295, 50, 1, 1, 1, 82, 1, 6.9, 0.4, 8, 0.2, 0.4
10033, 20, 7.6, 3.5, 6.2, 3.4, 2.3, 0.2, 3.9, 3, 4.6, 2.4, 20, _Sandy, 32, 12, 135, 98900, 12, çªéøìy, _Sandy, 22, 1, 217, 1, _SY295, 89, 0, 1, 2, 67, 1, 2.8, 0.1, 2.3, 0.1, 0.1
10034, 15, 6.1, 7.7, 16.7, 7.6, 1.4, 0.9, 0.3, 4.5, 6.9, 4.1, 17, _Sandy, 12, 44, 72, 170500, 14, çªéøìy, _Sandy, 40, 8, 271, 2, _SY390, 34, 1, 1, 2, 55, 2, 6.7, 0.6, 3.1, 0.2, 0.5
10035, 26, 3.4, 6.5, 15.8, 6.4, 2.3, 1.8, 11, 5.5, 7.1, 4.2, 20, _Clay, 6, 15, 299, 198400, 16, îSê´ìy, _Clay, 2, 31, 254, 4, _SY390, 49, 1, 1, 2, 45, 1, 5.4, 1.6, 5.2, 0.5, 0.4
10036, 27, 9.9, 7.8, 15.3, 7.7, 0.1, 0.3, 7.3, 6, 5.9, 3.2, 16, _Sandy, 17, 3, 100, 102900, 14, çªéøìy, _Sandy, 8, 44, 187, 5, _SY295, 88, 1, 0, 1, 48, 1, 2.2, 0, 5.9, 0, 0.5
10037, 17, 7.2, 6.6, 14.4, 6.5, 2.3, 1.2, 3.1, 2.9, 0.6, 2.4, 19, _Clay, 11, 19, 27, 130700, 16, çªéøìy, _Sandy, 20, 23, 170, 2, _SY390, 37, 1, 1, 1, 38, 2, 2.9, 0.3, 3, 0.3, 0.4
10038, 29, 4.4, 5.4, 13.5, 5.3, 2.7, 0.3, 2.5, 3.9, 10, 3.7, 12, _Sandy, 6, 34, 254, 158600, 18, îSê´ìy, _Clay, 33, 2, 153, 4, _SY295, 52, 0, 1, 1, 28, 1, 2.8, 0.1, 4.2, 0.1, 0.4
10039, 12, 5.7, 2.7, 7.1, 2.6, 0.6, 0.4, 6, 2.2, 3.2, 0.8, 15, _Sandy, 42, 6, 263, 3300, 18, çªéøìy, _Sandy, 39, 29, 224, 3, _SY295, 48, 1, 1, 2, 26, 1, 1.6, 0, 1.4, 0.2, 0.2
10040, 24, 2.9, 9.6, 14.4, 9.5, 7.2, 0.9, 9.8, 7.8, 1.9, 7.6, 18, _Clay, 37, 22, 190, 31200, 20, îSê´ìy, _Clay, 0, 8, 207, 5, _SY390, 63, 0, 0, 2, 82, 2, 8.2, 0.3, 9.1, 0.6, 0.2
10041, 14, 13.3, 8.4, 13.5, 8.3, 0.5, 2.3, 4.5, 5.6, 5.5, 3.9, 11, _Sandy, 32, 37, 117, 59000, 12, îSê´ìy, _Clay, 13, 32, 190, 2, _SY390, 78, 1, 0, 2, 73, 1, 4.2, 1.3, 3.6, 1.7, 0.2
10042, 26, 10.6, 7.2, 12.6, 7.1, 1.8, 1, 5.8, 6.3, 5.3, 2.6, 15, _Clay, 26, 8, 44, 86900, 14, çªéøìy, _Sandy, 25, 11, 173, 4, _SY295, 27, 0, 0, 2, 63, 2, 2.9, 0.7, 5.2, 0.8, 0.1
10043, 28, 5.1, 4.8, 10.8, 4.7, 2.7, 0.9, 1.1, 3.7, 9.2, 3.2, 11, _Clay, 16, 40, 198, 142600, 18, îSê´ìy, _Clay, 50, 14, 139, 3, _SY295, 58, 0, 1, 2, 43, 1, 2.7, 0.1, 3.6, 0.7, 0.1
10044, 10, 6.1, 3.7, 8.5, 3.6, 0.9, 2.5, 2.1, 2.8, 4, 2.6, 13, _Clay, 16, 14, 153, 102800, 20, îSê´ìy, _Clay, 30, 29, 37, 3, _SY295, 61, 0, 0, 1, 27, 1, 2.8, 1.5, 2.9, 2.3, 0.1
10045, 16, 8.5, 5.5, 9, 5.4, 2.6, 0.8, 1.4, 3.5, 8, 3, 16, _Clay, 31, 30, 216, 98800, 16, îSê´ìy, _Clay, 4, 1, 143, 1, _SY390, 48, 0, 0, 1, 68, 2, 2.8, 0.4, 5.2, 0.2, 0.3
10046, 19, 9.5, 4.3, 6.7, 4.2, 2.6, 1, 4.7, 3.9, 1.4, 3.6, 19, _Sandy, 31, 4, 171, 59000, 18, çªéøìy, _Sandy, 35, 17, 41, 1, _SY390, 51, 1, 1, 2, 52, 2, 3.2, 0.1, 3.9, 0.4, 0.3
10047, 25, 5.3, 7.3, 16.2, 7.2, 1.5, 1, 11.9, 1.8, 3, 1.6, 18, _Clay, 5, 7, 35, 158500, 12, îSê´ìy, _Clay, 15, 2, 79, 4, _SY390, 77, 0, 0, 1, 30, 2, 5.2, 0.2, 4.1, 0.8, 0.5
10048, 28, 12.9, 4.9, 14.4, 4.8, 2.6, 0.8, 8.2, 4, 6.8, 3.6, 14, _Sandy, 46, 39, 189, 15200, 16, çªéøìy, _Sandy, 40, 5, 45, 3, _SY295, 42, 1, 1, 1, 76, 2, 3.6, 0.4, 3.2, 0.7, 0.5
10049, 17, 9.9, 5.3, 8.1, 5.2, 0.5, 1.4, 7.5, 2.3, 3.6, 1.9, 17, _Clay, 5, 13, 61, 158400, 20, îSê´ìy, _Clay, 26, 17, 154, 1, _SY295, 64, 0, 0, 1, 52, 2, 2, 0.7, 4.3, 0.9, 0.1
10050, 27, 13.5, 4.4, 11.8, 4.3, 2.6, 0.1, 6.7, 3.8, 6.2, 3.1, 13, _Clay, 5, 44, 133, 198200, 16, îSê´ìy, _Clay, 6, 17, 31, 3, _SY295, 48, 1, 0, 2, 25, 2, 3.3, 0, 2.8, 0, 0.1
10051, 12, 9.3, 7.4, 11.7, 7.3, 1.4, 1.7, 5.8, 6.4, 3.4, 2.1, 12, _Clay, 30, 2, 297, 98700, 20, îSê´ìy, _Clay, 37, 2, 69, 1, _SY295, 74, 0, 1, 1, 69, 2, 5.5, 0.6, 6.3, 1.4, 0.4
10052, 11, 9.1, 8.9, 15.8, 8.8, 3.4, 1.2, 2.5, 3.9, 4.7, 3.5, 11, _Clay, 45, 6, 243, 15100, 12, îSê´ìy, _Clay, 11, 35, 195, 1, _SY295, 81, 1, 0, 1, 55, 1, 6.1, 0.1, 8.1, 0.7, 0.1
10053, 23, 6.3, 7.7, 14.9, 7.6, 4.3, 0.1, 3, 5.6, 5.5, 5.3, 15, _Sandy, 40, 21, 170, 43000, 14, çªéøìy, _Sandy, 24, 14, 178, 4, _SY390, 30, 0, 1, 1, 45, 2, 5.6, 0, 5.2, 0, 0.5
10054, 10, 8.8, 2.4, 11.8, 2.3, 0.8, 0.1, 4.7, 1.2, 0.9, 0.9, 11, _Sandy, 9, 9, 188, 130500, 14, îSê´ìy, _Clay, 36, 23, 22, 2, _SY390, 88, 1, 0, 2, 41, 2, 1.3, 0, 2.2, 0, 0.2
10055, 25, 13.9, 5.4, 13.2, 5.3, 0.4, 0.3, 11.1, 0.8, 9.2, 0.5, 11, _Clay, 30, 8, 24, 98700, 18, îSê´ìy, _Clay, 49, 17, 144, 3, _SY390, 60, 0, 1, 1, 26, 1, 1.4, 0.2, 0.9, 0.2, 0.5
10056, 12, 3.4, 8.1, 18.1, 8, 0.6, 0.7, 3.4, 7.2, 2.5, 4.9, 17, _Sandy, 50, 41, 42, 186200, 18, çªéøìy, _Sandy, 10, 26, 288, 1, _SY390, 52, 0, 0, 1, 87, 2, 1.7, 0.1, 6.2, 0.2, 0.1
10057, 24, 13.7, 6.9, 7.6, 6.8, 1.7, 1.8, 4.5, 3.1, 0.5, 2.2, 20, _Clay, 45, 11, 269, 15100, 20, îSê´ìy, _Clay, 22, 5, 271, 3, _SY390, 67, 1, 0, 1, 78, 1, 2, 0.7, 2.6, 0.7, 0.1
10058, 19, 12.2, 3, 9.9, 2.9, 0.9, 0, 0.3, 1.1, 4.8, 1, 16, _Sandy, 24, 43, 206, 86700, 12, îSê´ìy, _Clay, 41, 11, 25, 4, _SY295, 78, 1, 1, 1, 66, 2, 1.7, 0, 1.7, 0, 0.4
10059, 30, 9.5, 9.9, 17.1, 9.8, 6.5, 1.7, 12.5, 7.6, 2, 7.4, 19, _Clay, 19, 14, 133, 114500, 14, çªéøìy, _Sandy, 2, 35, 8, 1, _SY390, 28, 0, 1, 2, 56, 1, 7.5, 0.9, 9.2, 1.4, 0.4
10060, 17, 12, 4.6, 14.1, 4.5, 2.5, 1, 4.4, 3, 6.9, 2.7, 16, _Clay, 39, 2, 152, 3100, 14, îSê´ìy, _Clay, 14, 45, 152, 5, _SY390, 86, 1, 0, 1, 51, 1, 2.9, 0, 3.4, 0.5, 0.5
10061, 11, 4, 7.5, 15.4, 7.4, 1.1, 1.6, 2.6, 1.8, 2.2, 1.7, 16, _Clay, 9, 1, 287, 170300, 18, îSê´ìy, _Clay, 27, 38, 274, 1, _SY390, 58, 0, 0, 2, 36, 2, 2.2, 1.4, 5.3, 1.4, 0.3
10062, 23, 1.3, 6.3, 14.5, 6.2, 2.1, 0.6, 3.3, 3.5, 11.5, 2.2, 19, _Sandy, 4, 17, 214, 198100, 20, îSê´ìy, _Clay, 40, 17, 257, 3, _SY390, 73, 0, 0, 2, 26, 1, 2.1, 0, 2.3, 0.5, 0.3
10063, 24, 7.8, 7.6, 14, 7.5, 1.1, 0.9, 11.6, 3.1, 10.7, 2.8, 15, _Clay, 14, 5, 15, 102600, 18, çªéøìy, _Sandy, 45, 30, 190, 3, _SY295, 46, 0, 1, 2, 30, 1, 4.3, 0.2, 1.8, 0.8, 0.3
10064, 14, 5, 6.4, 13.1, 6.3, 2, 0, 5.5, 4.6, 3.7, 3.6, 18, _Sandy, 9, 20, 242, 130400, 20, çªéøìy, _Sandy, 7, 8, 173, 5, _SY390, 61, 0, 1, 2, 86, 2, 3.7, 0, 4.2, 0, 0.3
10065, 13, 11.4, 6.7, 8.1, 6.6, 4.6, 1.2, 3.8, 6.1, 6.1, 5.7, 11, _Sandy, 14, 36, 87, 142400, 14, çªéøìy, _Sandy, 26, 29, 67, 5, _SY390, 29, 1, 1, 1, 68, 1, 6.1, 1.1, 5.6, 0.8, 0.4
10066, 17, 12.6, 4, 11.3, 3.9, 2.4, 0.1, 3.6, 2.9, 6.6, 2.5, 14, _Sandy, 49, 7, 96, 186100, 14, îSê´ìy, _Clay, 32, 11, 139, 4, _SY390, 25, 0, 0, 2, 66, 1, 2.7, 0, 2.9, 0, 0.2
10067, 28, 9.9, 2.8, 10.4, 2.7, 0, 0.5, 3.3, 1.8, 5.6, 1.3, 17, _Clay, 44, 23, 23, 15000, 16, çªéøìy, _Sandy, 44, 35, 121, 1, _SY390, 40, 1, 0, 2, 56, 2, 0.7, 0.4, 2.2, 0, 0.2
10068, 15, 12.4, 5.5, 15.4, 5.4, 0.1, 1.3, 6.8, 3.3, 0.7, 1.6, 14, _Sandy, 13, 10, 42, 102600, 16, îSê´ìy, _Clay, 6, 45, 265, 5, _SY390, 32, 1, 1, 2, 52, 1, 1.4, 0.6, 2.9, 1, 0.4
10069, 27, 9.7, 4.3, 4.9, 4.2, 0.8, 0.5, 9.6, 3.4, 9.5, 2.8, 17, _Sandy, 8, 26, 269, 130400, 18, çªéøìy, _Sandy, 18, 23, 248, 2, _SY295, 47, 0, 1, 2, 42, 2, 4, 0.3, 3.6, 0.4, 0.3
10070, 25, 2.9, 4.6, 9.5, 4.5, 2.4, 0, 6.4, 2.6, 1.5, 2.5, 20, _Sandy, 13, 42, 114, 142300, 12, îSê´ìy, _Clay, 37, 44, 142, 2, _SY295, 82, 1, 1, 1, 25, 1, 2.9, 0, 4.1, 0, 0.4
10071, 16, 13.3, 3.4, 8.6, 3.3, 2.1, 0.6, 2.7, 2.6, 6, 2.4, 13, _Clay, 8, 13, 41, 170200, 14, çªéøìy, _Sandy, 49, 23, 125, 4, _SY390, 31, 1, 1, 1, 81, 1, 2.3, 0.2, 2.3, 0.3, 0.4
10072, 24, 2.7, 6.2, 13.6, 6.1, 4.6, 1.2, 11.9, 5, 5.1, 4.7, 19, _Clay, 28, 45, 60, 58700, 14, îSê´ìy, _Clay, 11, 32, 269, 2, _SY295, 89, 0, 0, 1, 77, 2, 4.7, 1.1, 5.9, 0.3, 0.1
10073, 22, 9.1, 6.5, 8.6, 6.4, 1.9, 0.6, 8.7, 4, 9.2, 2.5, 12, _Clay, 33, 16, 204, 70700, 18, îSê´ìy, _Clay, 29, 8, 163, 2, _SY295, 57, 0, 0, 2, 59, 1, 3.8, 0.3, 5.9, 0, 0.2
10074, 14, 12.8, 6.5, 7.2, 6.4, 1.9, 1.8, 2.1, 5.2, 2.5, 4.7, 12, _Sandy, 38, 19, 232, 3000, 18, çªéøìy, _Sandy, 48, 45, 78, 5, _SY295, 45, 0, 1, 1, 53, 2, 5.7, 1.6, 3.4, 0, 0.2
10075, 12, 6.1, 6.8, 11.8, 6.7, 4.5, 1.1, 0.6, 4.7, 4.6, 4.6, 15, _Clay, 43, 35, 77, 14900, 12, îSê´ìy, _Clay, 16, 20, 272, 5, _SY390, 79, 1, 1, 2, 35, 2, 4.8, 0.5, 5.2, 0.8, 0.3
10076, 23, 3.4, 5.6, 10.9, 5.5, 0, 0.2, 10.4, 2, 4.6, 1.5, 18, _Sandy, 38, 6, 4, 42800, 14, çªéøìy, _Sandy, 28, 44, 255, 2, _SY295, 29, 1, 0, 2, 25, 2, 0.5, 0.1, 4.2, 0.1, 0.2
10077, 14, 13.7, 4.4, 10, 4.3, 0.7, 0.9, 5.1, 3, 0.2, 1.8, 11, _Clay, 33, 22, 231, 70600, 16, çªéøìy, _Sandy, 41, 23, 238, 4, _SY390, 44, 0, 0, 2, 82, 1, 4.2, 0.7, 1.4, 0.7, 0.2
10078, 26, 11, 3.2, 9.1, 3.1, 0.2, 0.6, 6.9, 2.8, 8.4, 1, 14, _Sandy, 28, 37, 158, 98500, 18, îSê´ìy, _Clay, 2, 2, 221, 1, _SY295, 59, 1, 0, 2, 72, 2, 2.8, 0, 2.1, 0.5, 0.2
10079, 26, 4.4, 4.5, 8.6, 4.4, 0.7, 0.5, 2.9, 4, 7, 1, 20, _Sandy, 38, 25, 259, 3000, 16, îSê´ìy, _Clay, 8, 15, 153, 1, _SY390, 32, 0, 1, 1, 75, 2, 2, 0, 3.1, 0.4, 0.2
10080, 17, 1.6, 3.3, 7.7, 3.2, 0.9, 0.9, 0.4, 1.6, 1.5, 1.3, 13, _Clay, 33, 41, 186, 30800, 18, çªéøìy, _Sandy, 20, 39, 136, 4, _SY295, 47, 1, 1, 1, 65, 1, 1.5, 0.3, 1, 0.8, 0.2
10081, 29, 12, 2.1, 6.9, 2, 0.6, 0.3, 12.3, 1.4, 11.4, 0.9, 16, _Sandy, 28, 12, 113, 58700, 20, çªéøìy, _Sandy, 33, 17, 119, 1, _SY295, 62, 0, 0, 1, 55, 2, 0.8, 0.1, 1.2, 0.2, 0.2
10082, 23, 10.5, 6.3, 7.7, 6.2, 4.5, 1.3, 5.8, 5.1, 3, 4.7, 13, _Clay, 7, 44, 50, 130300, 12, çªéøìy, _Sandy, 0, 24, 174, 2, _SY390, 73, 0, 0, 2, 43, 1, 5.4, 0.6, 5.7, 0.4, 0.5
10083, 21, 3.8, 6.6, 12.3, 6.5, 1.7, 0.5, 3.2, 4.6, 7, 3.2, 16, _Sandy, 12, 14, 195, 142200, 16, çªéøìy, _Sandy, 19, 44, 68, 2, _SY390, 41, 0, 0, 1, 26, 2, 5.9, 0, 5.1, 0, 0.1
10084, 30, 6.3, 9.3, 17.2, 9.2, 2.5, 1.1, 14.5, 5.7, 5.2, 5.4, 12, _Clay, 32, 2, 213, 30800, 16, îSê´ìy, _Clay, 31, 9, 212, 5, _SY390, 33, 1, 1, 1, 88, 1, 7.8, 0.6, 4.8, 0.8, 0.2
10085, 20, 3.5, 8.1, 16.3, 8, 3.7, 2.3, 7.8, 7, 9.7, 5.7, 15, _Sandy, 27, 18, 140, 58600, 18, çªéøìy, _Sandy, 44, 32, 195, 2, _SY390, 48, 0, 0, 1, 78, 1, 6.7, 1.8, 7, 1.7, 0.2
10086, 11, 13.9, 6.9, 15.4, 6.8, 4.3, 1.1, 3.3, 4.7, 3.3, 4.4, 18, _Clay, 22, 34, 67, 86500, 20, çªéøìy, _Sandy, 5, 11, 178, 4, _SY295, 64, 1, 0, 1, 68, 2, 5.8, 1, 4.7, 0.8, 0.2
10087, 15, 2.1, 4.2, 9, 4.1, 2.3, 0.1, 3.3, 3.2, 3.3, 2.7, 11, _Clay, 7, 5, 77, 130300, 20, çªéøìy, _Sandy, 11, 39, 249, 4, _SY295, 60, 0, 0, 2, 66, 2, 2.4, 0, 4.1, 0, 0.5
10088, 27, 12.4, 3, 8.1, 2.9, 1.8, 0.6, 3.4, 2.6, 0.9, 2, 14, _Sandy, 2, 21, 4, 158100, 12, îSê´ìy, _Clay, 24, 18, 232, 1, _SY390, 75, 1, 0, 2, 56, 1, 2.9, 0.5, 2.2, 0.1, 0.5
10089, 17, 9.7, 9.9, 15.4, 9.8, 1.6, 0.7, 0.6, 3.6, 5.9, 3.3, 17, _Clay, 47, 37, 231, 186000, 14, îSê´ìy, _Clay, 36, 41, 215, 3, _SY295, 90, 1, 1, 2, 46, 2, 8.7, 0, 8.3, 0.1, 0.4
10090, 29, 6.9, 8.7, 14.5, 8.6, 3.1, 2.2, 12.7, 6.1, 4.6, 4.9, 11, _Sandy, 42, 7, 158, 14800, 16, çªéøìy, _Sandy, 49, 20, 198, 5, _SY295, 39, 0, 1, 2, 37, 1, 7.3, 0.6, 4.3, 0.5, 0.4
10091, 20, 4.2, 7.6, 13.7, 7.5, 4, 0.9, 6.9, 6.9, 9.4, 4.9, 14, _Clay, 37, 23, 85, 42700, 18, çªéøìy, _Sandy, 10, 44, 181, 2, _SY390, 54, 1, 1, 2, 27, 1, 6.3, 0.4, 6.3, 0.2, 0.4
