No, íÁëÃâÑí∑, íÁëÃïù, ç∂âEï«ëÃçÇÇ≥, ñÓî¬ÇÃëSí∑, íÜãlìyìVí[çÇÇ≥, íÁäOãÊä‘ínï\ñ , íÁì‡ãÊä‘ínï\ñ , à¯í£çﬁä‘äu, à¯í£çﬁà íu, ç›óàínî’èdó , ç›óàínî’ãÊï™, ç›óàínî’Níl, ç›óàínî’ñÄéCäp, ç›óàínî’îSíÖóÕ, ç›óàínî’ïœå`åWêî, íÜãlÇﬂèdó , íÜãlÇﬂãÊï™, íÜãlÇﬂNíl, íÜãlÇﬂñÄéCäp, íÜãlÇﬂîSíÖóÕ, ñÓî¬å^, ñÓî¬çﬁóø, à¯í£çﬁíºåa, à¯í£çﬁçﬁóøî‘çÜ, ï†ãNÇµçﬁéø, ï†ãNÇµî‘çÜ, íÁäOë§êÖà _èÌéû, íÁì‡ë§êÖà _èÌéû, íÁäOë§êÖà _ínêkéû, íÁì‡ë§êÖà _ínêkéû, êkìx
20104,25,13.7,3.3,4,3.2,0,0.7,1.6,2.7,17, _Sandy,27,22,15,131900,15, _Sandy,17,27,79,3, _SY390,60,0,1,10,2.5,0.6,2.9,0.1,0.4
20105,16,10.9,2.1,3.1,2,0,0.5,0.8,1.4,20, _Clay,11,36,151,111700,13, _Clay,24,39,139,4, _SY295,56,1,0,2,0.6,0,1.8,0,0.1
20106,27,8.2,9,10.3,8.9,0,2.6,1.6,5.8,14, _Clay,46,5,286,91500,11, _Sandy,32,6,198,5, _SY295,53,0,1,4,5.9,0.3,7.8,2.4,0.3
20107,18,5.4,7.8,9.4,7.7,0,2.5,0.8,4.2,17, _Sandy,31,18,122,71400,18, _Sandy,39,18,258,5, _SY390,49,1,1,7,7.4,0.6,6.7,1.9,0.5
20108,22,6.7,5.1,12.7,5,0,1.9,1.6,2.5,11, _Clay,41,32,160,11500,18, _Clay,50,11,259,3, _SY295,65,1,1,6,3.7,0.9,3,1.4,0.2
20109,13,4,3.9,11.8,3.8,0,1.6,1.6,3.5,14, _Clay,25,1,296,190300,16, _Sandy,6,23,18,4, _SY390,61,1,0,8,3.8,0.9,2.4,0.9,0.4
20110,24,1.2,2.7,10.9,2.6,0,1.1,0.8,2.1,18, _Sandy,10,15,131,170200,14, _Sandy,13,36,78,4, _SY295,57,0,1,1,1.7,0.7,1.6,0.4,0.5
20111,15,11.6,9.6,18.1,9.5,0,4.7,1.6,7.5,11, _Clay,45,29,267,150000,11, _Clay,20,3,138,5, _SY390,53,1,0,3,8.6,3.9,6.2,1.4,0.2
20112,26,8.8,8.4,17.2,8.3,0,0.2,0.8,3.6,14, _Clay,30,43,102,129900,19, _Sandy,27,15,197,3, _SY295,50,0,0,5,2,0.1,2.6,0,0.4
20113,17,6.1,7.2,16.3,7.1,2.4,0,1.6,3.6,18, _Sandy,14,12,238,109700,16, _Clay,35,27,257,4, _SY390,46,1,1,8,5.4,0,3.7,0,0.1
20114,21,7.3,4.5,9.9,4.4,0,0.5,0.8,0.9,12, _Clay,24,26,276,49800,17, _Clay,46,20,258,4, _SY295,62,0,1,7,1.6,0.1,3.8,0.4,0.3
20115,12,4.6,3.3,9,3.2,0,0.4,1.6,2.7,15, _Clay,9,40,112,29700,14, _Sandy,2,32,17,5, _SY390,58,1,0,9,2.4,0.1,2.7,0.3,0.5
20116,16,5.9,8.7,10.7,8.6,0,1.6,1.6,6.5,20, _Sandy,19,9,150,168800,14, _Clay,13,25,18,5, _SY390,74,1,0,9,4,0.9,4.3,1.2,0.2
20117,28,3.1,7.6,9.9,7.5,0,1.7,0.8,4.8,13, _Sandy,3,23,286,148600,12, _Clay,20,37,78,3, _SY295,70,0,1,1,6.1,1.2,3.8,1,0.4
20118,15,5.6,2.2,6.8,2.1,0,0.6,0.8,1,12, _Clay,24,6,63,28900,13, _Clay,43,23,80,3, _SY295,36,1,1,10,0.6,0,1.3,0.3,0.3
20119,26,2.9,9.1,14,9,0,3.2,1.6,3.5,15, _Sandy,8,20,198,8700,20, _Sandy,50,35,140,4, _SY390,32,0,1,2,5.9,0.8,5.9,1.3,0.5
20120,17,13.2,7.9,13.1,7.8,0,3,0.8,6.8,18, _Clay,44,34,34,187500,18, _Sandy,6,2,199,5, _SY295,28,1,0,4,7.2,1.2,5.2,0.8,0.1
20121,29,10.5,6.7,12.2,6.6,0,2.8,1.6,5.2,12, _Clay,28,3,170,167400,15, _Clay,13,15,259,3, _SY390,90,0,1,7,3.9,1.4,4.5,0.3,0.3
20122,19,7.8,5.5,11.3,5.4,0,2.5,1.6,3.8,15, _Sandy,12,17,5,147200,13, _Sandy,20,27,18,3, _SY295,87,0,0,9,4.5,1.6,3.7,2.4,0.5
20123,10,5,4.3,10.4,4.2,0,0,0.8,1.2,18, _Clay,48,31,141,127100,11, _Sandy,27,39,78,4, _SY390,83,1,0,1,0.4,0,1.7,0,0.2
20124,22,2.3,3.1,9.5,3,0.6,0,1.6,0.9,12, _Sandy,32,45,276,106900,18, _Clay,35,6,137,5, _SY295,79,0,1,4,1.8,0,1.5,0,0.4
20125,26,3.5,8.5,11.2,8.4,0,0.7,0.8,7.7,16, _Sandy,43,14,15,47000,18, _Sandy,46,44,139,5, _SY295,29,0,1,3,1.9,0,8,0.4,0.1
20126,16,13.9,7.3,10.3,7.2,0,0.9,1.6,5.5,19, _Clay,27,28,150,26900,16, _Clay,2,11,198,3, _SY390,25,1,0,5,4.5,0.1,6.8,0.4,0.2
20127,28,11.1,6.1,9.4,6,2.5,0,0.8,4.4,12, _Clay,11,42,286,6700,14, _Clay,9,24,258,4, _SY295,87,1,1,8,6,0,5.7,0,0.4
20128,19,8.4,4.9,8.5,4.8,0.1,0,1.6,1.9,16, _Sandy,47,11,122,185500,11, _Sandy,16,36,17,4, _SY390,84,0,0,10,1.9,0,4.3,0,0.1
20129,19,1.8,6.2,8.1,6.1,0,1.8,0.8,2.2,15, _Sandy,42,39,101,26100,14, _Clay,43,2,261,5, _SY390,69,0,1,6,5.9,1.7,4.4,0.4,0.1
20130,10,12.2,5,7.2,4.9,0,1.6,1.6,4.3,19, _Clay,27,8,237,5900,12, _Sandy,50,14,20,5, _SY390,65,1,1,8,2.7,0.1,3.5,0.1,0.3
20131,21,9.4,3.8,6.3,3.7,0,1.3,0.8,2.8,12, _Sandy,11,22,72,184700,20, _Clay,6,27,80,3, _SY295,61,0,0,10,3.1,0.2,2.7,1.2,0.4
20132,12,6.7,2.6,5.4,2.5,0,0.9,1.6,1.7,15, _Clay,46,36,208,164600,17, _Clay,13,39,139,4, _SY390,57,1,1,3,1.1,0.2,1.8,0.7,0.1
20133,24,4,9.5,12.6,9.4,0,4.1,0.8,5.8,19, _Clay,31,5,43,144400,15, _Sandy,20,6,199,5, _SY295,54,0,0,5,7.2,1.8,6.9,2.7,0.3
