No,a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,c1,c2,d1,e1_0,e1_1,e2_0,e2_1,e3_0,e3_1,e4_0,e4_1,e5_0,e5_1,e6_0,e6_1,e7_0,e7_1,e8_0,e8_1,e9_0,e9_1,e10_0,e10_1,e11_0,e11_1,e12_0,e12_1
12,999.99,4.60,4.60,999.99,2.88,2.88,19.75,392.83,24.46,306.09,82.58,999.99,999.99,11,235,1,110,0,353,0,165,0,86,0,129,14,102,0,153,0,185,0,280,211,185,3,280
13,999.99,999.99,999.99,999.99,2.55,3.28,121.42,254.56,4.37,325.20,999.99,32.96,999.99,0,180,0,83,28,270,2,125,0,86,0,129,0,86,4,129,0,185,0,280,1,185,85,280
14,999.99,3.80,3.80,999.99,2.11,2.11,6.01,16.68,5.70,16.79,13.98,15.70,999.99,13,180,1,83,15,270,1,125,0,110,0,165,6,102,9,153,0,185,0,280,97,185,134,280
15,999.99,999.99,999.99,999.99,18.44,18.44,150.37,89.37,16.66,90.94,999.99,999.99,999.99,1,180,0,83,0,270,0,125,0,86,0,129,2,102,2,153,5,185,6,280,27,185,23,280
16,999.99,999.99,999.99,7.33,2.75,2.83,15.40,31.20,2.81,26.07,36.20,10.64,999.99,7,235,0,110,11,353,1,165,5,86,22,129,12,86,29,129,25,185,102,280,175,185,410,280
17,999.99,101.60,101.60,999.99,22.77,22.77,9.84,7.03,4.88,6.77,19.29,22.83,999.99,2,235,0,110,1,353,0,165,1,102,1,153,6,102,3,153,9,140,6,210,82,140,40,210
18,999.99,999.99,999.99,5.19,3.54,3.54,10.32,10.71,3.80,5.97,15.21,12.42,999.99,10,235,0,110,10,353,1,165,0,86,0,129,5,102,5,153,0,185,0,280,23,185,23,280
20,999.99,7.82,7.82,999.99,5.59,5.59,6.35,36.41,5.92,35.02,19.01,25.71,999.99,10,235,0,110,7,353,0,165,0,110,0,165,23,102,14,153,0,140,0,210,194,140,121,210
21,999.99,999.99,999.99,999.99,999.99,999.99,256.07,287.31,82.97,287.31,999.99,999.99,999.99,0,235,0,110,0,353,0,165,0,110,0,165,0,86,0,129,1,140,0,210,1,140,1,210
22,999.99,999.99,999.99,999.99,3.64,3.64,9.67,16.50,3.00,17.52,17.53,10.98,999.99,1,235,0,110,1,353,0,165,2,94,3,141,14,110,13,165,6,185,10,280,33,185,32,280
23,999.99,999.99,999.99,999.99,999.99,999.99,8.34,17.04,5.21,14.62,16.40,10.44,999.99,11,180,0,83,55,270,2,125,0,102,0,153,18,94,46,141,0,185,0,280,28,185,71,280
24,999.99,19.22,19.22,999.99,9.41,9.41,13.58,46.35,8.82,46.61,52.05,40.22,999.99,9,235,1,110,10,353,1,165,31,86,31,129,17,86,15,129,342,185,345,280,317,185,287,280
25,999.99,999.99,999.99,999.99,999.99,999.99,67.05,243.34,12.02,289.55,999.99,57.28,999.99,6,235,0,110,20,353,1,165,0,86,2,129,3,86,29,129,0,185,20,280,53,185,553,280
26,999.99,999.99,999.99,999.99,999.99,999.99,139.70,88.71,31.07,80.67,79.14,999.99,999.99,2,235,0,110,1,353,0,165,1,102,0,153,2,102,1,153,2,185,1,280,39,185,13,280
27,999.99,999.99,999.99,999.99,999.99,999.99,38.51,26.78,8.78,27.49,46.90,62.34,999.99,0,180,0,83,0,270,0,125,0,86,0,129,0,102,0,153,0,185,0,280,0,185,0,280
28,999.99,999.99,999.99,999.99,999.99,999.99,47.35,49.89,15.43,42.37,999.99,999.99,999.99,2,235,0,110,0,353,0,165,0,86,0,129,2,86,0,129,0,140,0,210,18,140,0,210
29,999.99,999.99,999.99,999.99,999.99,999.99,99.68,263.40,9.66,230.18,999.99,83.73,999.99,0,235,0,110,1,353,0,165,0,102,0,153,0,102,0,153,0,140,0,210,0,140,0,210
30,999.99,999.99,999.99,999.99,999.99,999.99,65.99,41.34,8.97,40.56,999.99,999.99,999.99,0,235,0,110,0,353,0,165,0,86,0,129,0,86,0,129,0,185,0,280,0,185,0,280
31,999.99,999.99,999.99,999.99,999.99,999.99,117.31,20.76,5.21,16.92,999.99,25.77,999.99,0,180,0,83,0,270,0,125,0,86,0,129,0,86,0,129,0,140,0,210,0,140,0,210
32,999.99,286.10,286.10,999.99,16.39,16.39,46.78,212.47,9.02,165.66,58.86,999.99,999.99,3,180,0,83,1,270,0,125,1,102,0,153,8,86,1,129,10,185,2,280,37,185,6,280
33,999.99,9.18,9.18,999.99,1.91,1.91,20.96,42.19,9.14,41.92,23.88,16.26,999.99,80,180,4,83,146,270,7,125,0,102,0,153,24,102,49,153,0,185,0,280,566,185,1150,280
34,999.99,999.99,999.99,999.99,999.99,999.99,43.92,29.24,11.71,28.60,73.01,40.44,999.99,0,180,0,83,0,270,0,125,0,86,0,129,0,102,0,153,0,185,0,280,11,185,0,280
35,999.99,27.37,27.37,999.99,14.92,14.92,6.52,50.59,5.75,48.86,11.56,11.53,999.99,8,180,0,83,6,270,0,125,1,94,1,141,44,110,24,165,0,140,0,210,133,140,73,210
36,999.99,12.47,12.47,999.99,1.61,1.61,12.66,53.27,3.67,54.40,39.68,19.68,999.99,25,235,1,110,59,353,3,165,0,102,0,153,3,86,8,129,0,185,0,280,29,185,78,280
37,999.99,999.99,999.99,999.99,999.99,999.99,60.48,44.20,22.43,42.08,41.97,40.55,999.99,1,235,0,110,0,353,0,165,1,86,0,129,1,86,0,129,22,140,5,210,30,140,9,210
38,999.99,999.99,999.99,27.64,7.99,7.99,86.36,131.61,4.89,125.75,999.99,59.07,999.99,0,180,0,83,1,270,0,125,0,86,0,129,1,102,2,153,0,140,0,210,9,140,22,210
39,999.99,999.99,999.99,999.99,44.69,44.69,17.51,11.97,3.94,17.64,39.53,27.24,999.99,0,180,0,83,1,270,0,125,0,86,0,129,0,86,0,129,0,185,0,280,0,185,4,280
40,999.99,999.99,999.99,999.99,999.99,999.99,95.15,63.34,53.03,75.76,999.99,999.99,999.99,0,235,0,110,0,353,0,165,0,110,1,165,0,86,1,129,0,140,5,210,0,140,6,210
41,999.99,999.99,999.99,999.99,999.99,999.99,24.49,69.40,11.58,69.40,66.94,76.12,999.99,0,235,0,110,0,353,0,165,0,94,0,141,0,102,0,153,0,140,0,210,0,140,0,210
42,278.97,11.07,11.07,1.56,1.56,1.56,17.26,178.73,4.49,36.22,18.02,9.54,999.99,25,180,1,83,32,270,2,125,0,102,0,153,55,94,71,141,0,140,0,210,221,140,285,210
43,999.99,271.06,271.06,16.19,10.19,22.67,15.54,244.38,3.25,159.94,44.31,2.36,999.99,3,235,0,110,4,353,0,165,8,86,7,129,7,110,15,165,403,140,356,210,32,140,71,210
44,999.99,999.99,999.99,999.99,14.43,14.43,26.57,156.47,14.33,101.95,84.43,999.99,999.99,11,235,1,110,0,353,0,165,3,94,0,141,18,102,0,153,1,185,0,280,486,185,7,280
45,999.99,44.47,44.47,999.99,7.03,7.03,25.71,487.33,8.90,436.86,49.25,49.06,999.99,10,235,0,110,5,353,0,165,0,102,0,153,8,86,3,129,0,185,0,280,144,185,56,280
46,999.99,999.99,999.99,999.99,29.08,29.08,197.36,86.31,16.89,86.31,999.99,999.99,999.99,0,235,0,110,0,353,0,165,0,86,0,129,1,86,1,129,1,185,1,280,10,185,10,280
47,999.99,290.73,290.73,2.79,2.43,2.43,15.35,33.94,3.61,9.95,34.62,16.54,999.99,6,180,0,83,19,270,1,125,0,102,0,153,1,102,5,153,0,140,0,210,1,140,3,210
48,999.99,999.99,999.99,999.99,999.99,999.99,123.39,655.02,8.87,755.27,999.99,39.56,999.99,0,235,0,110,4,353,0,165,0,110,0,165,0,86,6,129,0,140,0,210,0,140,17,210
49,999.99,999.99,999.99,999.99,999.99,999.99,146.68,42.17,7.96,40.53,999.99,98.42,999.99,0,180,0,83,0,270,0,125,0,86,0,129,0,102,0,153,0,140,0,210,0,140,0,210
50,999.99,999.99,999.99,999.99,999.99,999.99,23.63,58.83,9.11,54.43,34.94,42.24,999.99,1,180,0,83,0,270,0,125,0,102,0,153,0,86,0,129,0,185,0,280,0,185,0,280
51,999.99,999.99,999.99,999.99,999.99,999.99,12.44,6.00,3.60,5.84,17.02,12.92,999.99,1,235,0,110,0,353,0,165,0,86,0,129,0,110,0,165,0,185,0,280,0,185,0,280
52,999.99,999.99,999.99,999.99,19.21,19.21,76.13,51.29,9.19,67.48,98.75,54.35,999.99,1,180,0,83,2,270,0,125,0,110,0,165,1,86,2,129,0,185,0,280,7,185,26,280
53,999.99,999.99,999.99,999.99,999.99,999.99,20.49,67.08,8.41,63.03,29.64,25.40,999.99,0,180,0,83,0,270,0,125,0,94,0,141,0,102,0,153,0,185,0,280,0,185,0,280
54,999.99,999.99,999.99,999.99,11.73,11.73,20.59,116.90,13.41,92.55,61.26,999.99,999.99,5,235,0,110,3,353,0,165,0,102,0,153,3,86,1,129,0,185,0,280,38,185,10,280
55,999.99,10.13,10.13,999.99,2.07,2.07,6.86,10.35,3.66,9.93,10.80,9.14,999.99,12,180,1,83,46,270,3,125,0,86,0,129,14,86,65,129,0,140,0,210,157,140,713,210
56,999.99,999.99,1156.86,999.99,18.08,18.08,87.35,41.77,16.58,43.97,77.54,44.19,999.99,2,180,0,83,3,270,0,125,0,102,0,153,3,102,4,153,0,140,0,210,36,140,46,210
57,999.99,181.23,181.23,999.99,2.89,2.89,17.28,109.16,5.11,98.18,29.25,90.23,999.99,14,180,1,83,1,270,0,125,0,86,0,129,3,86,0,129,0,140,0,210,62,140,3,210
58,999.99,124.68,124.68,999.99,56.31,56.31,21.56,204.46,12.52,189.59,62.10,74.27,999.99,3,235,0,110,2,353,0,165,0,86,0,129,3,86,2,129,0,140,0,210,12,140,7,210
59,999.99,0.97,0.97,999.99,3.06,3.06,5.47,14.07,25.04,11.28,15.56,95.33,999.99,102,235,4,110,57,353,3,165,79,102,62,153,0,102,5,153,3024,185,2365,280,0,185,36,280
60,999.99,999.99,999.99,999.99,8.69,8.69,46.70,118.23,9.49,152.91,85.05,28.36,999.99,1,235,0,110,3,353,0,165,1,86,6,129,2,86,9,129,14,185,90,280,13,185,60,280
61,999.99,999.99,999.99,999.99,4.54,4.54,84.42,445.23,24.41,458.86,999.99,999.99,999.99,2,180,0,83,2,270,0,125,0,110,0,165,1,94,2,141,0,185,0,280,4,185,5,280
62,999.99,999.99,999.99,999.99,999.99,999.99,50.36,97.98,44.34,75.29,999.99,999.99,999.99,6,180,0,83,0,270,0,125,0,94,0,141,10,110,0,165,0,140,0,210,21,140,0,210
63,999.99,999.99,999.99,999.99,11.74,11.74,57.87,27.80,6.68,31.91,78.93,22.22,999.99,1,235,0,110,1,353,0,165,0,86,0,129,0,102,1,153,0,185,0,280,1,185,3,280
64,999.99,999.99,999.99,999.99,999.99,999.99,79.10,999.99,15.08,856.22,999.99,49.67,999.99,1,180,0,83,0,270,0,125,11,102,0,153,11,110,0,165,325,140,1,210,37,140,0,210
65,999.99,999.99,999.99,999.99,13.48,13.48,16.88,199.79,7.45,212.95,50.48,31.63,999.99,9,180,0,83,11,270,1,125,0,86,0,129,5,102,8,153,0,140,0,210,148,140,207,210
66,999.99,999.99,999.99,999.99,999.99,999.99,25.15,41.57,18.48,37.96,81.95,72.96,999.99,0,235,0,110,6,353,1,165,0,110,0,165,0,86,1,129,0,185,0,280,1,185,25,280
67,999.99,52.97,52.97,999.99,10.62,10.62,16.70,33.03,11.41,32.14,27.95,23.15,999.99,20,180,1,83,14,270,1,125,0,86,0,129,2,102,1,153,0,140,0,210,4,140,3,210
68,999.99,999.99,999.99,999.99,8.09,8.09,21.07,94.44,8.42,83.67,38.80,33.20,999.99,7,235,1,110,4,353,0,165,0,102,0,153,0,86,0,129,0,185,0,280,0,185,0,280
69,999.99,999.99,999.99,999.99,85.04,85.04,86.76,999.99,17.85,999.99,999.99,999.99,999.99,1,235,0,110,1,353,0,165,4,102,2,153,8,102,5,153,35,185,22,280,159,185,98,280
70,999.99,999.99,999.99,999.99,999.99,999.99,44.12,89.08,13.75,63.31,999.99,58.20,999.99,0,235,0,110,0,353,0,165,0,86,0,129,0,86,0,129,0,185,0,280,0,185,0,280
71,999.99,999.99,999.99,999.99,999.99,999.99,45.88,437.73,36.65,420.69,71.37,84.23,999.99,0,235,0,110,0,353,0,165,0,102,0,153,0,102,0,153,0,140,0,210,0,140,0,210
72,999.99,999.99,999.99,999.99,8.59,8.59,336.37,54.79,14.58,53.02,999.99,999.99,999.99,1,235,0,110,0,353,0,165,0,86,0,129,1,86,0,129,0,140,0,210,1,140,0,210
73,999.99,153.28,153.28,999.99,5.73,5.73,12.31,7.91,6.65,8.47,47.32,34.76,999.99,3,235,0,110,6,353,0,165,0,86,0,129,5,110,9,165,0,140,0,210,20,140,41,210
74,999.99,999.99,999.99,999.99,21.20,21.20,105.19,144.40,10.11,205.94,999.99,45.50,999.99,0,180,0,83,2,270,0,125,1,102,7,153,2,110,13,165,11,185,107,280,7,185,41,280
75,999.99,999.99,999.99,999.99,10.54,10.54,13.90,13.79,5.46,15.21,23.84,14.55,999.99,1,180,0,83,2,270,0,125,1,110,5,165,5,94,9,141,4,185,12,280,5,185,8,280
76,999.99,18.60,18.60,7.50,3.49,3.49,10.02,14.05,3.63,9.93,23.93,20.87,999.99,28,180,3,83,31,270,3,125,1,86,2,129,17,86,18,129,5,185,8,280,315,185,340,280
77,999.99,999.99,999.99,999.99,8.69,8.69,44.03,54.19,7.47,60.09,67.05,42.75,999.99,0,235,0,110,2,353,0,165,0,102,0,153,0,86,0,129,0,185,0,280,0,185,3,280
78,999.99,13.84,13.84,999.99,3.00,3.00,27.68,360.60,13.31,276.14,38.69,41.48,999.99,15,235,1,110,22,353,1,165,0,102,0,153,3,102,5,153,0,185,0,280,10,185,17,280
79,999.99,999.99,999.99,999.99,63.67,63.67,23.72,28.56,8.95,28.17,56.86,49.90,999.99,2,180,0,83,1,270,0,125,9,110,7,165,7,86,4,129,57,140,40,210,90,140,58,210
80,999.99,999.99,999.99,999.99,999.99,999.99,39.02,146.07,7.32,169.43,999.99,83.66,999.99,1,235,0,110,1,353,0,165,0,102,2,153,3,102,5,153,6,140,19,210,41,140,81,210
81,999.99,999.99,999.99,999.99,999.99,999.99,46.55,362.16,11.39,321.59,77.96,89.85,999.99,1,235,0,110,0,353,0,165,0,86,0,129,3,86,0,129,0,185,0,280,28,185,2,280
82,999.99,999.99,999.99,999.99,999.99,999.99,11.47,12.26,4.29,16.48,30.62,45.60,999.99,0,180,0,83,0,270,0,125,0,110,1,165,0,86,1,129,0,185,1,280,0,185,2,280
83,999.99,2.38,2.38,999.99,1.15,1.15,13.25,33.30,11.13,31.25,51.94,52.14,999.99,22,235,1,110,43,353,3,165,0,86,0,129,47,94,90,141,0,185,0,280,128,185,244,280
84,999.99,999.99,999.99,999.99,999.99,999.99,7.37,26.35,3.70,28.66,13.17,3.89,999.99,2,235,0,110,13,353,1,165,0,102,1,153,0,94,1,141,1,185,15,280,0,185,3,280
85,999.99,999.99,999.99,999.99,999.99,999.99,47.97,126.51,24.09,165.04,81.44,69.81,999.99,0,235,0,110,0,353,0,165,0,86,0,129,0,86,0,129,0,140,0,210,0,140,0,210
86,999.99,999.99,999.99,999.99,3.56,3.56,110.55,105.39,16.60,104.35,999.99,999.99,999.99,2,180,0,83,1,270,0,125,0,102,0,153,0,102,0,153,0,140,0,210,1,140,1,210
87,999.99,4.93,4.93,999.99,4.75,4.75,5.57,69.08,5.95,55.25,10.93,18.57,999.99,35,235,2,110,7,353,1,165,0,94,0,141,8,102,1,153,0,140,0,210,93,140,13,210
88,999.99,48.36,48.36,999.99,18.24,18.24,9.18,8.69,7.46,7.75,17.24,26.58,999.99,10,235,0,110,3,353,0,165,0,110,0,165,3,86,1,129,0,140,0,210,35,140,9,210
89,999.99,239.51,239.51,999.99,12.16,12.16,16.96,54.57,5.44,56.61,52.72,52.75,999.99,4,235,0,110,3,353,0,165,0,102,0,153,2,102,2,153,0,185,0,280,17,185,18,280
90,999.99,210.99,210.99,999.99,12.09,12.09,15.99,172.66,4.29,144.40,29.21,43.03,999.99,9,180,0,83,2,270,0,125,0,94,0,141,1,86,0,129,0,185,0,280,0,185,0,280
91,999.99,999.99,999.99,999.99,18.20,18.20,6.26,3.00,2.60,2.80,3.26,2.53,999.99,2,180,0,83,3,270,0,125,0,110,0,165,0,86,0,129,0,185,0,280,0,185,0,280
92,999.99,999.99,999.99,999.99,999.99,999.99,67.82,49.83,14.14,51.32,999.99,66.44,999.99,0,235,0,110,0,353,0,165,0,86,0,129,0,102,0,153,0,185,0,280,0,185,0,280
93,999.99,999.99,999.99,999.99,999.99,999.99,99.38,162.57,16.34,180.81,999.99,37.42,999.99,0,235,0,110,1,353,0,165,0,86,0,129,0,94,3,141,0,140,1,210,0,140,1,210
94,999.99,999.99,999.99,999.99,414.41,414.41,52.03,40.66,7.96,42.92,67.49,51.62,999.99,0,235,0,110,0,353,0,165,0,86,1,129,1,110,1,165,1,140,2,210,2,140,4,210
95,999.99,999.99,999.99,999.99,999.99,999.99,15.60,52.56,8.48,46.35,58.49,60.05,999.99,0,180,0,83,0,270,0,125,0,102,0,153,0,102,0,153,0,140,0,210,0,140,0,210
96,999.99,999.99,999.99,999.99,999.99,999.99,24.96,452.66,28.73,474.35,95.77,999.99,999.99,4,180,0,83,0,270,0,125,0,86,0,129,0,86,0,129,0,185,0,280,3,185,0,280
97,999.99,999.99,999.99,999.99,5.87,5.87,18.96,261.97,7.73,244.59,60.18,53.39,999.99,16,180,1,83,6,270,1,125,4,102,1,153,12,86,4,129,60,140,19,210,287,140,96,210
98,999.99,999.99,999.99,999.99,999.99,999.99,21.42,75.74,13.74,74.24,37.25,27.70,999.99,0,235,0,110,0,353,0,165,0,86,0,129,0,86,0,129,0,185,0,280,2,185,1,280
99,999.99,999.99,999.99,999.99,999.99,999.99,55.78,58.50,10.89,66.45,73.57,49.82,999.99,0,235,0,110,2,353,0,165,0,102,0,153,0,86,5,129,0,185,0,280,2,185,58,280
100,999.99,999.99,999.99,999.99,71.96,71.96,106.56,643.30,26.00,573.98,999.99,999.99,999.99,1,180,0,83,0,270,0,125,1,86,0,129,5,86,1,129,5,140,1,210,21,140,3,210
101,999.99,999.99,999.99,999.99,2.11,2.11,112.22,18.62,5.59,18.41,999.99,49.09,999.99,0,180,0,83,11,270,1,125,0,86,0,129,0,102,1,153,0,140,0,210,0,140,1,210
102,999.99,999.99,999.99,999.99,999.99,999.99,5.49,32.28,6.62,27.90,10.70,14.82,999.99,3,180,0,83,0,270,0,125,0,86,0,129,1,94,0,141,0,140,0,210,2,140,0,210
103,999.99,38.77,38.77,5.06,3.09,6.39,9.77,112.32,2.73,50.43,26.80,12.89,999.99,15,180,1,83,15,270,1,125,0,86,0,129,8,102,8,153,0,185,0,280,32,185,34,280
104,999.99,999.99,999.99,999.99,25.47,25.47,36.54,48.13,5.51,59.59,51.75,20.49,999.99,1,180,0,83,2,270,0,125,0,102,1,153,3,94,10,141,5,185,20,280,2,185,7,280
105,999.99,999.99,999.99,999.99,999.99,999.99,9.50,84.90,7.18,63.84,38.89,25.81,999.99,4,180,0,83,1,270,0,125,3,86,0,129,17,110,0,165,24,185,0,280,4,185,0,280
106,999.99,999.99,999.99,999.99,1.81,1.81,34.02,237.81,13.15,240.86,51.80,47.44,999.99,16,180,1,83,79,270,4,125,0,102,0,153,5,86,25,129,0,185,0,280,112,185,573,280
107,999.99,999.99,999.99,999.99,22.67,22.67,49.27,30.48,9.86,26.85,999.99,999.99,999.99,1,180,0,83,0,270,0,125,0,86,0,129,1,102,0,153,1,185,0,280,9,185,0,280
108,999.99,999.99,999.99,999.99,999.99,999.99,37.15,72.86,19.65,56.50,76.47,40.78,999.99,3,235,0,110,0,353,0,165,0,94,0,141,2,86,0,129,0,140,0,210,17,140,0,210
109,999.99,6.28,6.28,999.99,4.06,4.06,7.61,86.46,6.30,75.56,13.75,19.83,999.99,16,235,1,110,10,353,1,165,13,86,4,129,28,86,11,129,379,140,112,210,522,140,208,210
110,4.65,2.36,2.68,1.44,1.38,2.16,1.96,3.82,1.59,1.21,5.91,5.65,999.99,13,180,1,83,11,270,1,125,0,102,0,153,7,102,7,153,0,140,0,210,15,140,14,210
111,999.99,999.99,999.99,999.99,999.99,999.99,9.68,19.38,5.64,20.38,16.00,26.37,999.99,0,235,0,110,0,353,0,165,0,86,0,129,0,86,0,129,0,185,0,280,0,185,0,280
112,999.99,999.99,999.99,999.99,999.99,999.99,94.22,178.30,12.64,191.72,999.99,999.99,999.99,0,235,0,110,1,353,0,165,0,86,0,129,0,102,1,153,0,185,1,280,0,185,2,280
113,999.99,999.99,999.99,999.99,999.99,999.99,17.78,237.44,8.35,219.11,38.11,29.78,999.99,16,235,1,110,5,353,0,165,0,110,0,165,23,110,6,165,0,185,0,280,256,185,72,280
114,999.99,10.06,10.06,999.99,2.42,2.42,10.74,37.91,7.26,40.25,20.62,19.58,999.99,28,180,1,83,34,270,2,125,0,94,0,141,11,94,14,141,0,185,0,280,33,185,45,280
115,999.99,999.99,999.99,999.99,999.99,999.99,18.64,84.53,11.92,83.09,64.08,48.22,999.99,6,235,0,110,4,353,0,165,0,102,0,153,16,94,11,141,0,185,0,280,12,185,8,280
116,999.99,999.99,999.99,999.99,999.99,999.99,338.66,541.55,78.32,541.55,999.99,999.99,999.99,0,235,0,110,0,353,0,165,0,94,0,141,0,102,0,153,0,140,0,210,0,140,0,210
117,999.99,999.99,999.99,999.99,2.03,2.03,12.83,21.16,5.18,25.08,23.80,16.30,999.99,5,235,0,110,25,353,1,165,0,94,0,141,0,86,4,129,0,140,0,210,13,140,96,210
118,999.99,209.44,209.44,999.99,10.90,10.90,13.02,8.82,5.09,8.32,35.16,51.03,999.99,2,235,0,110,1,353,0,165,0,102,0,153,1,86,0,129,0,140,0,210,29,140,8,210
119,999.99,14.69,14.69,1.23,1.23,1.54,6.12,19.73,1.59,0.47,16.74,1.84,999.99,29,235,1,110,18,353,2,165,16,86,5,129,32,102,15,153,154,140,51,210,298,140,136,210
120,999.99,999.99,999.99,10.85,9.78,9.78,57.11,231.77,3.49,179.43,61.89,23.31,999.99,2,235,0,110,3,353,0,165,0,102,0,153,1,86,3,129,0,185,0,280,1,185,7,280
121,999.99,999.99,999.99,999.99,999.99,999.99,7.94,17.86,10.35,17.86,15.76,21.93,999.99,4,235,0,110,7,353,1,165,0,86,0,129,2,86,4,129,0,185,0,280,2,185,3,280
122,999.99,999.99,1664.96,6.90,5.39,43.14,9.83,83.98,1.86,38.88,15.44,2.30,999.99,1,235,0,110,0,353,0,165,1,102,2,153,4,102,6,153,31,185,61,280,72,185,113,280
123,999.99,999.99,999.99,999.99,76.06,76.06,26.19,67.07,17.84,69.23,50.43,47.88,999.99,2,180,0,83,2,270,0,125,0,86,0,129,16,110,11,165,1,185,2,280,62,185,41,280
124,999.99,999.99,999.99,999.99,32.55,32.55,100.88,22.18,7.78,32.22,999.99,26.00,999.99,0,235,0,110,1,353,0,165,0,86,3,129,0,94,5,141,0,185,29,280,0,185,3,280
125,999.99,999.99,999.99,999.99,7.07,7.07,16.90,28.27,6.77,32.33,31.34,16.58,999.99,26,235,0,110,50,353,1,165,0,110,0,165,16,110,45,165,0,140,0,210,62,140,176,210
126,999.99,16.08,16.50,999.99,8.57,8.75,12.51,45.26,12.23,43.32,50.79,59.40,999.99,13,180,1,83,6,270,0,125,0,86,0,129,61,110,27,165,0,140,0,210,156,140,69,210
127,999.99,23.11,23.11,999.99,2.80,2.80,8.22,13.43,6.15,10.23,14.30,37.53,999.99,11,180,1,83,10,270,1,125,0,102,0,153,17,86,20,129,0,185,0,280,243,185,290,280
128,999.99,157.83,157.83,9.65,4.71,4.71,28.70,39.19,8.37,37.52,22.05,13.02,999.99,14,235,1,110,31,353,2,165,0,86,0,129,1,86,3,129,0,185,0,280,6,185,13,280
129,999.99,999.99,999.99,999.99,30.99,30.99,31.13,192.61,17.39,176.38,68.63,53.78,999.99,7,235,0,110,4,353,0,165,0,102,0,153,12,102,7,153,0,140,0,210,46,140,27,210
130,999.99,999.99,999.99,999.99,6.02,6.02,18.87,30.62,4.41,32.90,58.77,28.48,999.99,1,235,0,110,2,353,0,165,5,86,14,129,6,102,13,153,42,185,129,280,145,185,306,280
131,999.99,51.37,51.37,999.99,33.12,33.12,15.83,192.51,16.57,168.66,46.47,72.18,999.99,5,235,1,110,3,353,0,165,0,86,0,129,32,86,12,129,0,140,0,210,245,140,95,210
132,999.99,999.99,1067.07,999.99,12.00,12.00,51.48,41.20,8.40,40.49,74.67,81.90,999.99,1,235,0,110,1,353,0,165,0,110,0,165,3,102,2,153,0,140,0,210,11,140,6,210
133,999.99,999.99,999.99,999.99,999.99,999.99,14.10,62.73,6.74,47.64,23.84,34.54,999.99,6,235,0,110,0,353,0,165,28,94,0,141,20,86,0,129,196,185,0,280,56,185,0,280
134,999.99,999.99,999.99,999.99,999.99,999.99,64.75,191.24,22.39,176.34,999.99,999.99,999.99,2,180,0,83,1,270,0,125,4,102,1,153,14,110,4,165,43,140,15,210,55,140,16,210
