No,a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,c1,c2,d1,e1_0,e1_1,e2_0,e2_1,e3_0,e3_1,e4_0,e4_1,e5_0,e5_1,e6_0,e6_1,e9_0,e9_1,e10_0,e10_1
20033,999.99,999.99,999.99,26.30,3.35,3.35,7.27,37.58,3.91,30.07,11.38,2.22,3.07,5,180,1,83,21,270,2,125,22,102,0,153,15,140,0,210
20034,999.99,0.93,1.35,999.99,1.99,2.29,2.22,9.21,4.16,8.08,4.99,1.65,4.48,23,180,1,83,422,270,12,125,12,110,217,165,1,185,21,280
20035,999.99,74.82,74.82,999.99,10.28,10.28,8.68,20.57,3.59,18.07,12.71,21.76,9.44,4,235,0,110,2,353,0,165,10,94,4,141,3,185,1,280
20036,999.99,999.99,999.99,999.99,114.81,114.81,375.97,242.71,119.27,232.42,999.99,999.99,15.75,0,180,0,83,0,270,0,125,0,86,0,129,0,140,0,210
20037,999.99,24.81,24.81,999.99,2.43,2.43,16.93,294.49,12.19,221.02,8.50,6.13,3.60,117,235,5,110,158,353,8,165,15,102,23,153,10,185,15,280
20038,999.99,8.44,8.44,10.01,2.48,2.48,10.52,21.83,7.14,14.91,18.68,71.00,2.16,34,180,1,83,7,270,0,125,4,86,0,129,4,140,0,210
20039,999.99,999.99,999.99,999.99,999.99,999.99,28.84,197.81,10.36,144.94,999.99,88.44,6.92,5,180,0,83,0,270,0,125,0,86,0,129,0,140,0,210
20040,999.99,999.99,999.99,2.29,2.10,5.10,62.76,7.03,1.92,3.24,4.24,1.66,98.00,1,180,0,83,4,270,0,125,0,86,0,129,0,140,0,210
20041,999.99,117.65,117.65,999.99,20.99,20.99,18.23,56.87,8.19,56.25,35.90,29.50,8.67,13,235,0,110,10,353,0,165,3,102,2,153,2,140,2,210
20042,999.99,999.99,999.99,999.99,23.24,23.24,689.63,999.99,17.09,999.99,999.99,999.99,106.50,0,180,0,83,1,270,0,125,0,86,1,129,0,185,0,280
20043,999.99,999.99,999.99,999.99,27.75,27.75,32.97,30.93,6.42,31.66,33.05,20.34,15.67,0,180,0,83,0,270,0,125,0,102,0,153,0,140,0,210
20044,999.99,999.99,999.99,999.99,999.99,999.99,39.85,244.96,13.89,217.80,95.87,55.59,4.37,5,235,0,110,7,353,1,165,5,102,12,153,3,140,6,210
20045,999.99,13.07,13.07,4.16,2.67,3.82,3.63,8.86,2.56,5.17,6.72,30.02,2.74,6,180,0,83,0,270,0,125,1,86,0,129,1,185,0,280
20046,999.99,999.99,999.99,999.99,999.99,999.99,48.83,108.93,45.54,102.70,999.99,999.99,7.40,2,235,0,110,0,353,0,165,0,102,0,153,0,140,0,210
20047,999.99,999.99,999.99,999.99,999.99,999.99,165.04,174.39,9.57,219.62,999.99,60.94,112.50,0,235,0,110,7,353,0,165,0,102,1,153,0,140,1,210
20048,999.99,999.99,999.99,999.99,999.99,999.99,17.11,29.88,28.52,29.88,51.25,999.99,5.89,0,180,0,83,0,270,0,125,0,86,0,129,0,140,0,210
20049,999.99,999.99,999.99,999.99,999.99,999.99,18.13,34.94,11.38,40.94,34.08,30.43,44.67,0,235,0,110,0,353,0,165,0,102,0,153,0,185,0,280
20050,999.99,999.99,999.99,999.99,999.99,999.99,38.39,411.02,11.37,451.32,68.96,49.88,6.20,0,180,0,83,0,270,0,125,1,110,1,165,0,185,0,280
20051,999.99,999.99,999.99,999.99,2.63,2.68,18.63,62.13,2.96,70.29,39.62,1.80,35.75,6,180,1,83,3,270,1,125,6,102,10,153,1,140,2,210
20052,999.99,999.99,999.99,999.99,999.99,999.99,16.69,27.14,12.02,26.13,30.65,26.27,17.33,0,235,0,110,0,353,0,165,0,86,0,129,0,185,0,280
20053,999.99,999.99,999.99,999.99,10.77,10.77,71.80,97.66,18.94,100.09,99.46,52.59,25.18,5,235,0,110,8,353,0,165,3,86,5,129,1,140,1,210
20054,999.99,999.99,999.99,999.99,11.41,11.41,37.86,32.22,16.58,27.74,999.99,999.99,10.63,3,180,0,83,1,270,0,125,4,110,0,165,1,185,0,280
20055,999.99,999.99,999.99,999.99,13.18,13.18,49.86,7.43,8.15,7.52,55.32,51.10,27.50,5,180,0,83,5,270,0,125,1,86,1,129,0,185,0,280
20056,999.99,999.99,999.99,999.99,3.82,3.82,10.05,58.31,4.97,69.46,18.39,13.16,3.94,6,235,0,110,16,353,1,165,2,86,5,129,2,140,6,210
20057,999.99,999.99,999.99,999.99,61.74,61.74,53.57,49.34,8.12,59.42,87.39,36.89,32.00,0,180,0,83,2,270,0,125,0,86,0,129,0,185,0,280
20058,999.99,999.99,999.99,999.99,9.39,9.39,11.22,128.57,5.54,113.25,31.27,5.19,5.83,14,180,1,83,3,270,0,125,4,94,0,141,0,185,0,280
20059,999.99,999.99,999.99,999.99,1.49,1.49,30.33,24.46,6.93,24.46,32.42,29.73,21.07,47,235,2,110,43,353,2,165,12,102,13,153,12,140,12,210
20060,999.99,999.99,999.99,999.99,999.99,999.99,30.35,119.16,14.50,111.26,45.93,39.65,8.03,3,180,0,83,2,270,0,125,3,86,2,129,0,140,0,210
20061,999.99,999.99,999.99,999.99,21.63,21.63,68.29,313.06,6.52,344.57,999.99,58.34,28.13,0,235,0,110,1,353,0,165,2,110,3,165,1,185,2,280
20062,999.99,999.99,999.99,999.99,999.99,999.99,7.95,19.75,8.18,12.84,33.12,28.10,3.48,14,180,1,83,0,270,0,125,16,102,0,153,12,185,0,280
20063,999.99,999.99,999.99,999.99,999.99,999.99,17.30,53.76,6.34,59.98,27.15,18.70,13.48,2,235,0,110,1,353,0,165,0,86,0,129,0,185,0,280
20064,999.99,999.99,999.99,999.99,12.18,12.18,29.53,9.92,3.42,11.46,999.99,5.54,26.25,1,235,0,110,7,353,1,165,0,110,4,165,0,140,0,210
20065,999.99,999.99,999.99,999.99,999.99,999.99,14.14,74.36,5.98,77.23,38.75,77.24,4.83,3,180,0,83,1,270,0,125,0,86,1,129,0,140,0,210
20066,999.99,999.99,999.99,999.99,2.04,2.07,78.94,16.83,4.65,18.77,999.99,46.60,18.50,1,235,0,110,7,353,1,165,0,86,2,129,0,140,4,210
20067,999.99,35.63,35.63,33.57,3.07,3.07,14.50,25.77,4.79,21.89,14.40,22.39,7.62,9,180,1,83,8,270,1,125,33,94,40,141,5,140,7,210
20068,999.99,999.99,999.99,999.99,5.91,5.91,920.57,317.26,11.99,356.08,999.99,999.99,179.00,0,180,0,83,4,270,0,125,0,110,4,165,0,185,1,280
20069,999.99,57.00,57.00,999.99,2.88,2.88,15.67,22.40,6.84,24.20,44.98,31.67,6.25,12,235,1,110,15,353,1,165,3,102,4,153,3,185,4,280
20070,999.99,999.99,999.99,999.99,999.99,999.99,29.42,314.65,13.48,321.09,999.99,85.38,19.14,1,180,0,83,1,270,0,125,1,94,1,141,0,140,0,210
20071,999.99,999.99,999.99,999.99,999.99,999.99,39.84,95.65,12.18,99.39,68.06,38.54,3.40,4,235,0,110,4,353,0,165,2,86,3,129,0,140,0,210
20072,999.99,999.99,999.99,999.99,999.99,999.99,221.63,999.99,29.79,999.99,999.99,999.99,52.75,0,180,0,83,1,270,0,125,0,86,1,129,0,140,0,210
20073,999.99,999.99,999.99,999.99,56.97,56.97,22.94,42.31,10.15,43.17,40.34,82.15,20.89,3,235,0,110,1,353,0,165,1,102,0,153,0,185,0,280
20074,999.99,999.99,999.99,999.99,999.99,999.99,32.61,409.68,16.85,372.44,999.99,999.99,9.71,4,180,0,83,1,270,0,125,0,86,0,129,0,185,0,280
20075,999.99,999.99,999.99,999.99,999.99,999.99,120.83,81.28,51.38,69.59,999.99,999.99,28.86,1,235,0,110,0,353,0,165,2,94,0,141,0,185,0,280
20077,999.99,999.99,999.99,999.99,6.91,6.95,71.30,36.17,4.36,49.19,999.99,14.97,30.13,1,235,0,110,12,353,1,165,0,102,7,153,0,140,6,210
20078,999.99,999.99,999.99,999.99,6.72,6.72,24.92,13.87,8.67,11.99,62.14,999.99,9.67,7,235,0,110,0,353,0,165,1,86,0,129,1,140,0,210
20079,999.99,17.60,17.60,999.99,8.36,8.36,13.10,42.96,8.85,42.96,47.69,48.56,7.07,5,235,0,110,4,353,0,165,1,102,1,153,0,185,0,280
20080,999.99,999.99,999.99,999.99,63.44,63.44,102.85,124.85,25.30,146.88,999.99,76.30,25.14,1,180,0,83,2,270,0,125,0,86,1,129,1,140,3,210
20081,999.99,51.54,51.54,5.06,4.16,4.16,3.89,2.78,2.25,1.77,7.59,15.56,2.71,1,235,0,110,0,353,0,165,3,102,0,153,3,140,0,210
20082,999.99,999.99,999.99,999.99,999.99,999.99,70.79,36.58,19.25,37.30,999.99,999.99,20.50,0,180,0,83,0,270,0,125,0,94,0,141,0,185,0,280
20083,999.99,999.99,999.99,131.83,46.67,46.67,13.93,27.57,5.79,22.97,7.64,7.30,18.50,0,235,0,110,0,353,0,165,0,110,0,165,0,185,0,280
20084,999.99,999.99,999.99,999.99,7.02,7.02,48.34,226.56,3.76,244.52,999.99,10.17,37.63,1,180,0,83,1,270,0,125,0,86,0,129,0,185,0,280
20085,999.99,999.99,999.99,999.99,132.80,132.80,26.21,39.74,6.38,34.25,83.93,59.69,12.59,4,235,0,110,0,353,0,165,2,102,0,153,0,140,0,210
20086,999.99,75.48,75.48,999.99,6.52,6.52,5.28,14.80,2.53,12.04,4.91,1.48,8.72,5,180,0,83,10,270,1,125,14,86,0,129,3,185,0,280
20087,999.99,161.46,161.46,999.99,6.90,6.90,29.45,228.71,4.75,198.22,41.16,999.99,9.76,1,235,0,110,0,353,0,165,2,86,2,129,0,185,0,280
20088,999.99,22.23,22.23,999.99,34.79,34.79,26.98,71.20,34.10,62.54,54.69,76.38,7.75,3,180,0,83,1,270,0,125,2,94,0,141,0,185,0,280
20089,999.99,999.99,999.99,999.99,6.85,6.85,198.94,40.67,14.11,43.45,999.99,60.76,46.60,0,235,0,110,1,353,0,165,0,86,0,129,0,185,0,280
20090,999.99,62.66,62.66,999.99,6.67,6.67,18.19,240.26,5.48,169.68,49.00,999.99,4.30,14,180,1,83,0,270,0,125,6,86,0,129,1,185,0,280
20091,999.99,999.99,999.99,999.99,71.40,71.40,22.21,31.81,10.76,33.36,69.36,53.78,2.50,3,180,0,83,3,270,0,125,2,86,2,129,2,185,2,280
20092,999.99,169.43,169.43,25.21,16.60,16.60,9.32,39.26,2.17,8.94,9.03,10.10,6.32,2,235,0,110,1,353,0,165,3,102,1,153,1,140,0,210
20093,999.99,999.99,999.99,999.99,999.99,999.99,8.72,59.53,10.83,52.41,13.60,26.50,8.00,2,180,0,83,0,270,0,125,3,86,0,129,3,140,0,210
20094,999.99,999.99,999.99,999.99,5.42,5.42,10.08,12.92,8.16,10.57,25.84,29.74,5.22,12,235,1,110,19,353,1,165,1,102,1,153,0,185,0,280
20095,999.99,999.99,999.99,999.99,2.23,2.23,45.60,46.15,5.93,46.48,84.95,28.26,9.77,3,180,0,83,32,270,1,125,0,102,6,153,0,185,5,280
20096,999.99,999.99,999.99,999.99,255.87,255.87,71.03,65.31,6.67,73.53,89.63,17.30,191.00,0,235,0,110,1,353,0,165,0,86,0,129,0,185,1,280
20097,999.99,999.99,999.99,999.99,999.99,999.99,166.27,999.99,27.77,999.99,999.99,999.99,23.71,1,180,0,83,1,270,0,125,0,86,1,129,0,140,1,210
20098,999.99,999.99,999.99,999.99,999.99,999.99,107.34,34.43,28.69,37.06,999.99,999.99,32.75,0,180,0,83,0,270,0,125,0,94,2,141,0,140,1,210
20099,999.99,999.99,999.99,999.99,999.99,999.99,39.35,152.02,16.17,192.21,999.99,999.99,12.05,0,235,0,110,2,353,0,165,0,86,1,129,0,140,0,210
20100,999.99,115.88,115.88,999.99,16.09,16.09,7.92,14.87,3.23,15.81,19.23,18.43,7.76,14,180,1,83,15,270,1,125,1,86,1,129,1,185,1,280
20101,18.63,18.63,24.83,5.55,5.55,6.53,6.31,45.32,3.06,15.46,2.26,1.47,2.93,30,180,1,83,15,270,1,125,5,86,2,129,1,140,1,210
20102,999.99,999.99,999.99,999.99,5.60,5.60,13.83,123.66,8.14,111.80,29.12,14.78,2.87,25,235,2,110,60,353,6,165,50,86,232,129,17,140,78,210
20103,999.99,999.99,23412.31,57.54,19.91,19.91,154.94,241.43,4.21,216.95,999.99,999.99,41.00,0,235,0,110,0,353,0,165,0,86,0,129,0,140,0,210
20104,999.99,999.99,1131.97,999.99,27.14,29.43,51.84,146.02,10.00,166.83,999.99,54.73,22.45,1,235,0,110,2,353,0,165,0,102,1,153,1,185,2,280
20105,999.99,999.99,999.99,999.99,999.99,999.99,367.14,447.14,32.55,604.95,999.99,70.13,134.00,0,180,0,83,1,270,0,125,0,102,0,153,0,140,0,210
20106,999.99,999.99,999.99,999.99,58.02,58.02,20.06,27.83,6.56,39.69,28.56,20.43,4.06,1,180,0,83,10,270,1,125,0,86,8,129,0,185,7,280
20107,999.99,999.99,999.99,3.86,2.84,2.84,6.94,17.14,2.69,8.37,20.13,28.61,2.27,7,235,0,110,6,353,0,165,5,102,5,153,1,185,1,280
20108,999.99,999.99,999.99,999.99,999.99,999.99,26.37,88.33,17.17,87.03,45.24,62.61,13.22,7,180,0,83,4,270,0,125,2,102,1,153,2,185,1,280
20109,999.99,999.99,999.99,999.99,999.99,999.99,24.10,42.77,19.89,36.01,43.75,71.81,9.73,2,235,0,110,3,353,0,165,1,102,1,153,0,140,0,210
20110,999.99,999.99,999.99,999.99,999.99,999.99,54.57,67.11,22.74,62.03,999.99,999.99,31.17,0,180,0,83,0,270,0,125,0,86,0,129,0,185,0,280
20111,999.99,999.99,999.99,999.99,999.99,999.99,22.99,182.04,15.06,114.97,40.30,38.88,8.54,4,235,0,110,0,353,0,165,3,102,0,153,4,140,0,210
20112,999.99,999.99,1688.95,999.99,2.57,2.84,40.19,114.82,5.27,116.80,60.87,8.43,14.78,2,180,0,83,2,270,0,125,0,86,0,129,0,140,0,210
20113,999.99,16.64,17.07,999.99,14.35,14.58,14.61,27.41,14.66,24.96,53.08,65.92,4.94,17,235,1,110,6,353,0,165,11,102,4,153,3,185,1,280
20114,999.99,999.99,999.99,999.99,14.02,14.02,81.59,95.30,12.99,117.45,999.99,48.61,16.91,2,180,0,83,4,270,0,125,1,86,6,129,0,185,2,280
20115,999.99,999.99,999.99,999.99,8.43,8.43,26.21,347.65,7.37,376.82,49.40,29.76,8.20,5,235,0,110,12,353,1,165,3,102,8,153,1,140,3,210
20116,999.99,999.99,999.99,999.99,6.05,6.05,19.42,12.79,6.52,13.21,19.37,5.74,4.79,10,235,1,110,33,353,3,165,2,102,8,153,2,140,6,210
20117,999.99,999.99,999.99,999.99,999.99,999.99,17.16,97.91,14.76,79.37,49.93,94.90,2.14,12,180,1,83,1,270,0,125,1,86,0,129,1,185,0,280
20118,999.99,999.99,999.99,999.99,34.86,34.86,39.79,17.99,6.66,22.64,52.80,31.00,999.99,0,180,0,83,1,270,0,125,0,110,1,165,0,185,0,280
20119,999.99,999.99,999.99,999.99,999.99,999.99,16.77,21.11,7.17,21.48,59.56,65.09,5.89,2,235,0,110,3,353,0,165,5,94,10,141,2,185,5,280
20120,999.99,999.99,999.99,999.99,68.50,68.50,7.38,42.49,6.32,37.87,10.89,12.05,6.33,2,180,0,83,0,270,0,125,2,110,0,165,0,140,0,210
20121,999.99,999.99,999.99,999.99,999.99,999.99,24.54,13.89,6.11,13.43,32.07,20.71,22.09,1,235,0,110,0,353,0,165,0,86,0,129,0,185,0,280
20122,999.99,999.99,999.99,17.19,13.86,13.86,71.18,35.77,3.14,27.31,999.99,35.32,16.67,1,180,0,83,3,270,0,125,1,86,2,129,0,185,1,280
20123,999.99,999.99,14265.97,999.99,16.76,17.10,178.17,134.04,15.85,157.15,999.99,56.67,43.00,0,235,0,110,2,353,0,165,0,102,0,153,0,140,1,210
20124,999.99,93.64,93.64,999.99,15.26,15.26,92.94,871.19,42.39,843.08,999.99,999.99,8.72,2,180,0,83,2,270,0,125,2,86,1,129,4,185,3,280
20125,999.99,999.99,999.99,999.99,11.33,11.33,31.68,51.51,13.64,44.34,45.11,88.12,8.54,4,180,0,83,1,270,0,125,1,102,0,153,1,140,0,210
20126,999.99,999.99,999.99,29.37,8.01,8.01,22.21,53.53,5.04,56.85,24.95,12.71,5.78,12,235,0,110,29,353,1,165,8,110,27,165,1,140,4,210
20127,999.99,32.54,32.54,999.99,7.53,7.89,21.36,532.72,8.31,518.32,34.59,31.01,3.37,42,180,1,83,34,270,1,125,3,102,2,153,2,185,1,280
20128,999.99,143.41,143.41,999.99,7.10,7.40,32.50,26.04,6.79,36.02,69.63,23.87,8.26,3,235,0,110,6,353,0,165,1,86,3,129,1,140,3,210
20129,999.99,999.99,999.99,999.99,999.99,999.99,9.11,162.43,11.20,125.39,37.27,44.32,1.80,7,235,1,110,4,353,0,165,8,86,2,129,4,185,1,280
20130,999.99,999.99,999.99,999.99,999.99,999.99,55.78,40.74,9.88,44.73,53.60,27.54,16.55,0,235,0,110,10,353,0,165,0,102,3,153,0,185,2,280
20131,999.99,999.99,999.99,999.99,7.02,7.02,17.96,22.44,4.00,23.68,33.08,53.75,8.72,1,180,0,83,1,270,0,125,0,86,0,129,0,140,0,210
20132,999.99,999.99,999.99,999.99,999.99,999.99,157.17,326.01,45.85,391.22,999.99,999.99,66.00,0,235,0,110,1,353,0,165,0,102,1,153,0,185,1,280
20133,999.99,999.99,999.99,999.99,2.10,3.56,3.25,3.10,1.89,3.20,4.91,4.37,4.61,1,180,0,83,1,270,0,125,0,86,1,129,0,140,0,210
20134,999.99,50.53,50.53,999.99,21.34,21.34,18.64,146.54,10.82,132.36,57.21,65.04,4.97,12,180,0,83,5,270,0,125,1,102,1,153,1,140,1,210
20135,999.99,999.99,999.99,999.99,18.81,18.81,82.76,45.95,16.67,53.64,999.99,58.10,21.86,5,235,0,110,9,353,0,165,0,86,1,129,0,140,0,210
20136,999.99,1.08,1.08,999.99,1.75,1.75,3.10,16.15,2.67,15.49,7.18,4.89,2.30,27,180,2,83,62,270,4,125,4,102,10,153,4,185,9,280
20137,999.99,999.99,999.99,999.99,3.69,3.69,99.93,57.85,6.74,65.98,999.99,46.56,31.38,0,235,0,110,4,353,0,165,0,86,1,129,0,140,1,210
20138,999.99,999.99,999.99,999.99,5.09,5.09,45.97,428.45,10.10,355.35,999.99,999.99,5.11,6,235,0,110,1,353,0,165,3,102,0,153,3,140,0,210
20139,999.99,999.99,999.99,999.99,23.59,23.59,51.21,15.25,8.29,15.61,50.88,78.51,27.83,0,180,0,83,0,270,0,125,0,86,0,129,0,185,0,280
20140,999.99,999.99,999.99,999.99,14.10,14.10,63.35,202.68,9.08,198.07,999.99,999.99,22.46,3,235,0,110,2,353,0,165,3,94,2,141,2,185,1,280
20141,999.99,999.99,999.99,999.99,999.99,999.99,98.99,243.92,21.69,285.55,999.99,86.35,20.93,10,180,0,83,27,270,0,125,3,110,10,165,0,185,2,280
20142,999.99,37.04,37.04,999.99,2.23,2.23,38.76,436.26,6.04,405.86,60.10,39.58,9.63,5,180,0,83,19,270,2,125,3,102,13,153,1,185,5,280
20143,999.99,999.99,999.99,999.99,999.99,999.99,32.14,75.19,7.73,79.72,51.51,64.71,22.67,0,180,0,83,0,270,0,125,0,102,0,153,0,140,0,210
20144,999.99,999.99,999.99,999.99,999.99,999.99,35.78,75.60,11.20,80.21,32.31,23.12,11.71,0,235,0,110,1,353,0,165,0,102,0,153,0,140,0,210
20145,999.99,999.99,999.99,999.99,999.99,999.99,43.11,24.17,18.19,23.83,80.20,56.12,154.00,0,180,0,83,0,270,0,125,0,110,0,165,0,140,0,210
20146,999.99,54.14,54.14,999.99,2.95,2.95,24.93,40.05,6.06,34.77,58.43,999.99,5.14,15,235,1,110,1,353,0,165,3,94,0,141,1,140,0,210
20147,999.99,6.72,7.02,999.99,8.01,8.01,5.85,81.11,8.75,52.49,18.41,72.74,3.11,33,180,2,83,1,270,0,125,54,94,1,141,12,185,0,280
20148,999.99,131.19,131.19,999.99,4.63,4.70,22.22,10.56,9.80,10.01,36.46,75.59,7.89,11,235,0,110,3,353,0,165,6,110,1,165,0,140,0,210
20149,999.99,3.04,3.39,999.99,1.37,1.46,5.83,14.30,4.54,11.90,24.16,3.51,4.19,88,180,2,83,136,270,5,125,5,86,16,129,3,185,8,280
20150,999.99,999.99,999.99,999.99,12.85,12.85,40.69,78.56,9.33,88.71,999.99,58.48,11.91,1,180,0,83,1,270,0,125,3,94,9,141,0,185,2,280
20151,999.99,78.90,78.90,999.99,30.31,30.31,63.22,999.99,28.37,999.99,999.99,999.99,6.06,3,235,0,110,2,353,0,165,2,110,2,165,1,185,0,280
20152,999.99,999.99,999.99,999.99,999.99,999.99,23.63,33.04,24.31,30.73,41.99,65.55,2.35,1,180,0,83,0,270,0,125,1,86,0,129,0,185,0,280
20153,999.99,999.99,999.99,999.99,3.45,3.45,33.84,22.37,6.64,25.46,65.21,18.84,11.61,2,180,0,83,7,270,1,125,0,86,1,129,0,140,1,210
20154,999.99,999.99,999.99,999.99,999.99,999.99,69.10,676.72,13.29,699.43,999.99,93.73,12.69,2,180,0,83,1,270,0,125,1,102,1,153,1,140,1,210
20155,999.99,999.99,999.99,999.99,999.99,999.99,66.39,223.47,23.57,160.23,89.01,69.83,18.13,1,235,0,110,1,353,0,165,1,86,0,129,1,185,0,280
20156,999.99,999.99,999.99,7.26,7.26,9.28,5.48,18.99,1.67,6.67,8.01,2.99,8.32,1,235,0,110,4,353,1,165,0,102,0,153,0,185,0,280
20157,999.99,4.34,4.34,999.99,3.00,3.00,16.94,240.40,13.66,237.95,31.54,28.25,3.65,39,235,3,110,50,353,4,165,15,102,21,153,5,140,7,210
20158,999.99,999.99,999.99,48.15,2.00,2.14,257.14,27.31,2.50,30.13,45.26,12.80,290.00,0,180,0,83,2,270,0,125,0,102,1,153,0,140,1,210
20159,999.99,2.62,2.62,999.99,1.59,1.64,17.65,101.64,11.44,106.83,73.36,57.34,4.70,16,180,1,83,15,270,1,125,6,102,6,153,3,140,4,210
20160,999.99,999.99,999.99,999.99,2.78,2.78,108.26,15.49,7.09,16.93,999.99,84.48,30.86,0,180,0,83,2,270,0,125,1,110,8,165,0,185,1,280
